City,CityWeight
Jackson,0.7693074290316086
Clinton,0.14047211596537146
Byram,0.0634940608012885
Raymond,0.009442319307429031
Terry,0.006603583652103885
Edwards,0.004982887054560097
Utica,0.003216227098852426
Bolton,0.0022045500301993153
Learned,0.000276827058586672
Gulfport,0.46250706425455446
Biloxi,0.3140402456138123
Long Beach,0.10647498460151254
D'Iberville,0.08055472654191247
Pass Christian,0.03642297898820825
Southaven,0.3916764989810147
Olive Branch,0.28534448854088457
Horn Lake,0.1912474525367371
Hernando,0.12207801494511782
Walls,0.009653544996245843
Hattiesburg,0.8052976748147517
Petal,0.19470232518524827
Tupelo,0.7077856420626896
Saltillo,0.09212448039546119
Baldwyn,0.05840167771411452
Verona,0.05240984159083249
Guntown,0.0452009137550088
Shannon,0.02801183387634348
Plantersville,0.016065610605549938
Meridian,0.9521882944698067
Marion,0.04781170553019327
Pearl,0.3572995691364225
Brandon,0.3319103380825249
Flowood,0.1352065766170601
Richland,0.09404985329491687
Florence,0.06036055087097883
Pelahatchie,0.01666622611086146
Puckett,0.004506885887235336
Madison,0.43087046262240636
Ridgeland,0.375886524822695
Canton,0.16745037788848022
Flora,0.025792634666418363
Oxford,0.9720355842498405
Taylor,0.013775759168199392
Abbeville,0.014188656581960137
Greenville,0.7986165739861657
Leland,0.10796148107961481
Hollandale,0.06314932863149329
Metcalfe,0.022107690221076903
Arcola,0.008164926081649261
Starkville,0.961266367011921
Maben,0.030525698651553645
Sturgis,0.008207934336525308
Columbus,0.9266708405071216
Caledonia,0.04480356863358898
Crawford,0.016512756299890435
Artesia,0.012012834559398966
Pascagoula,0.3072049011791364
Gautier,0.2657602842236303
Ocean Springs,0.2575496901794581
Moss Point,0.16948512441777516
Vicksburg,1.0
Laurel,0.7537697278762034
Ellisville,0.20011430078691694
Sandersville,0.027959730953532335
Soso,0.018156240383347254
Corinth,0.8349113444654845
Farmington,0.11792046823893958
Glen,0.02174786251219372
Rienzi,0.01606702243644919
Kossuth,0.00935330234693292
Clarksdale,0.8521322084826072
Jonestown,0.0550098231827112
Friars Point,0.051311683809083554
Lyon,0.01675719403675026
Coahoma,0.013174621518548481
Lula,0.011614468970299318
Greenwood,0.8572194424588993
Itta Bena,0.09828448892065761
Sidon,0.0184060042887777
Schlater,0.013878961162735287
Morgan City,0.012211103168930188
Natchez,1.0
Grenada,1.0
Brookhaven,1.0
McComb,0.7670765027322405
Magnolia,0.11661698956780923
Summit,0.09289617486338798
Osyka,0.023410332836562346
Bay St. Louis,0.3612787411198533
Diamondhead,0.36532732411580476
Waveland,0.27339393476434193
Cleveland,0.5314498425121695
Shelby,0.09625847093633674
Rosedale,0.07568960580318794
Mound Bayou,0.07325570296840699
Shaw,0.06977188126372053
Renova,0.032547484967070724
Boyle,0.025388947217714994
Merigold,0.018087238713372148
Benoit,0.01741910852343228
Gunnison,0.014126181158728643
Duncan,0.013076262288823137
Beulah,0.01154910756896058
Pace,0.008685692469218288
Winstonville,0.007253984919347142
Alligator,0.005440488689510356
Yazoo City,0.9545370370370371
Bentonia,0.02962962962962963
Eden,0.012222222222222223
Satartia,0.003611111111111111
West Point,1.0
Indianola,0.5355676769948827
Ruleville,0.14727548782545127
Moorhead,0.10914918742619356
Drew,0.10228870269358376
Sunflower,0.053702974751166845
Inverness,0.04819209357251308
Doddsville,0.003823876736208739
Booneville,0.9321742863275381
Jumpertown,0.046469199399012666
Marietta,0.02135651427344924
Senatobia,0.8522691376224071
Coldwater,0.14773086237759292
New Albany,0.8923239684965323
Myrtle,0.056776772070059954
Blue Springs,0.050899259433407784
Batesville,0.6371917160780269
Sardis,0.148577812150898
Como,0.09607287101486638
Crenshaw,0.05448139554868093
Courtland,0.04073214746068574
Pope,0.02294405774684197
Philadelphia,1.0
Kosciusko,0.9248630315679625
Ethel,0.04448212888077224
Sallis,0.01695799634750848
McCool,0.013696843203756848
Holly Springs,0.793952432174017
Byhalia,0.15537229592446516
Potts Camp,0.05067527190151787
Amory,0.4542821679768308
Aberdeen,0.3378844297338298
Nettleton,0.13294717969935183
Smithville,0.03523651910081368
Hatley,0.034271135015859884
Gattman,0.005378568473314025
Louisville,0.9397609066915076
Noxapater,0.06023909330849247
Pontotoc,0.6364256480218281
Ecru,0.10368349249658936
Algoma,0.0802637562528422
Thaxton,0.0790131878126421
Sherman,0.06821282401091405
Toccopola,0.03240109140518418
Columbia,1.0
Carthage,0.9006435410453618
Walnut Grove,0.07581227436823104
Lena,0.023544184586407158
Ripley,0.6878907745310706
Blue Mountain,0.10463187444175066
Walnut,0.09097869082557102
Dumas,0.06009952788056654
Falkner,0.05639913232104121
Forest,0.5509000305095088
Morton,0.3735380860368148
Lake,0.04851011898708431
Sebastopol,0.027051764466592087
Crystal Springs,0.4472055427251732
Hazlehurst,0.3330254041570439
Wesson,0.16960739030023095
Beauregard,0.02651270207852194
Georgetown,0.023648960739030025
Waynesboro,0.9091272218893549
State Line,0.09087277811064509
Wiggins,1.0
Winona,0.7762103796586555
Duck Hill,0.11459421804249391
Kilmichael,0.10919540229885058
Fulton,0.7138564863909509
Mantachie,0.20166136443973134
Tremont,0.08448214916931777
Magee,0.5869077865789867
Mendenhall,0.3292482439097295
D'Lo,0.056194888656404124
Braxton,0.02764908085487969
Houston,0.5340749084764855
Okolona,0.35201351731906505
New Houlka,0.09828217403548296
Woodland,0.015629400168966488
Leakesville,0.9183725690890481
McLain,0.0816274309109519
Water Valley,0.7212041884816754
Coffeeville,0.17648342059336825
Oakland,0.10231239092495636
Newton,0.42045454545454547
Union,0.2632135306553911
Decatur,0.22529069767441862
Hickory,0.05470401691331924
Chunky,0.036337209302325583
Iuka,0.47641874130199474
Belmont,0.2886964589454152
Burnsville,0.13360136075460027
Tishomingo,0.05767743930725221
Golden,0.027369723210143807
Paden,0.016236276480593784
Lucedale,1.0
Tutwiler,0.5275874504147133
Charleston,0.3279841327082582
Webb,0.0703209520375045
Sumner,0.04850342589253516
Glendora,0.02560403894698882
Macon,0.6606404958677686
Brooksville,0.23553719008264462
Shuqualak,0.10382231404958678
Collins,0.6533217290397447
Mount Olive,0.25935596170583114
Seminary,0.08732230925442414
Sumrall,0.3356009070294785
Purvis,0.3573318216175359
Lumberton,0.3070672713529856
Durant,0.2759995018059534
Tchula,0.20637688379623864
Lexington,0.19915307012081207
Goodman,0.1513264416490223
Pickens,0.11470917922530825
Cruger,0.033379001120936606
West,0.019055922281728734
Eupora,0.6186683657215674
Mathiston,0.26887543803759156
Mantee,0.07582032494424976
Walthall,0.03663587129659127
Quitman,0.49962339944765255
Stonewall,0.22119005774541803
Enterprise,0.12528245041426062
Shubuta,0.10243535023851369
Pachuta,0.05146874215415516
Belzoni,0.6505248899424314
Isola,0.2140196410430071
Silver City,0.07517778530308161
Louise,0.06027768371147985
Rolling Fork,0.7110073901205757
Anguilla,0.19486581096849476
Cary,0.0941267989109296
Bruce,0.29724478982691627
Calhoun City,0.2640409749205228
Vardaman,0.19939950547509713
Derma,0.17131755563405157
Pittsboro,0.02596255740021194
Big Creek,0.023843164959378313
Slate Springs,0.01819145178382197
Bay Springs,0.6113020236731577
Heidelberg,0.24360442917143948
Louin,0.10538373424971363
Montrose,0.039709812905689194
Ackerman,0.6991468343062416
Weir,0.19982038616973508
French Camp,0.10103277952402336
Tylertown,1.0
Fayette,1.0
Monticello,0.7095286885245902
New Hebron,0.1987704918032787
Silver Creek,0.09170081967213115
Marks,0.3771276595744681
Lambert,0.3404255319148936
Crowder,0.15159574468085107
Sledge,0.09973404255319149
Falcon,0.031117021276595744
Centreville,0.5771375464684015
Woodville,0.4228624535315985
Port Gibson,1.0
Taylorsville,0.3612432603869331
Raleigh,0.32223279416428796
Polkville,0.18807484934982557
Mize,0.10117348556929907
Sylvarena,0.0272756105296543
Tunica,1.0
Richton,0.41730038022813687
Beaumont,0.31844106463878324
New Augusta,0.26425855513307983
Gloster,0.5197444831591173
Liberty,0.3437862950058072
Crosby,0.13646922183507548
De Kalb,0.5740142210730446
Scooba,0.4259857789269554
Bude,0.4631268436578171
Roxie,0.2784660766961652
Meadville,0.2584070796460177
Vaiden,0.4990125082290981
North Carrollton,0.27123107307439104
Carrollton,0.22975641869651087
Ashland,0.3883421650264951
Hickory Flat,0.3792581377744133
Snow Lake Shores,0.2323996971990916
Mayersville,1.0
