County,latitude,longitude,FI Population 2021,2021 Cost Per Meal,FI Population 2026,2026 Cost Per Meal
Adams County,31.48294286,-91.35349826,"5,530",3.35,,
Alcorn County,34.88077146,-88.58026456,"6,260",3.41,,
Amite County,31.17439653,-90.80443149,"2,770",3.33,,
Attala County,33.08629347,-89.5815416,"3,310",3.14,,
Benton County,34.81728646,-89.18847548,"1,170",3.24,,
Bolivar County,33.79706842,-90.88056923,"6,160",3.54,,
Calhoun County,33.93645001,-89.33644516,"2,400",3.30,,
Carroll County,33.44852585,-89.9201977,"1,490",3.56,,
Chickasaw County,33.92079986,-88.94786379,"2,830",3.32,,
Choctaw County,33.34730707,-89.2483812,"1,370",3.65,,
Claiborne County,31.9736926,-90.91181333,"1,750",3.61,,
Clarke County,32.04140167,-88.68940444,"2,680",3.52,,
Clay County,33.65566661,-88.78157617,"2,590",3.65,,
Coahoma County,34.23001093,-90.60172236,"4,600",3.45,,
Copiah County,31.8692374,-90.44879868,"4,130",3.33,,
Covington County,31.63321821,-89.55262882,"3,010",3.31,,
DeSoto County,34.87535216,-89.99112369,"19,700",3.62,,
Forrest County,31.1888694,-89.2578598,"13,990",3.43,,
Franklin County,31.47714533,-90.89785012,"1,460",3.34,,
George County,30.86260682,-88.64403461,"4,670",3.28,,
Greene County,31.21422475,-88.63916294,"2,290",3.28,,
Grenada County,33.76995386,-89.80200615,"3,520",3.39,,
Hancock County,30.3937798,-89.47456209,"7,520",3.66,,
Harrison County,30.41604967,-89.08164268,"35,020",3.62,,
Hinds County,32.26670196,-90.44282108,"31,720",3.77,,
Holmes County,33.12351449,-90.09205061,"4,280",3.43,,
Humphreys County,33.12869729,-90.52662102,"1,900",3.43,,
Issaquena County,32.74138792,-90.98921066,250,3.52,,
Itawamba County,34.27998675,-88.36132284,"3,180",3.26,,
Jackson County,30.46288758,-88.62284158,"22,330",3.70,,
Jasper County,32.01914811,-89.11888176,"2,430",3.38,,
Jefferson County,31.73420539,-91.03717872,"1,410",3.35,,
Jefferson Davis County,31.5696411,-89.82300244,"1,700",3.40,,
Jones County,31.62256789,-89.16878941,"11,110",3.38,,
Kemper County,32.75455793,-88.64115942,"1,580",3.19,,
Lafayette County,34.35675781,-89.48491927,"7,410",4.02,,
Lamar County,31.20603304,-89.50867253,"9,510",3.74,,
Lauderdale County,32.4042862,-88.66254153,"12,670",3.52,,
Lawrence County,31.55021581,-90.10697117,"2,190",3.34,,
Leake County,32.753517,-89.52401585,"3,750",3.14,,
Lee County,34.28988807,-88.68041615,"11,090",3.50,,
Leflore County,33.5505241,-90.30106469,"5,130",3.56,,
Lincoln County,31.5323844,-90.45397124,"5,450",3.34,,
Lowndes County,33.47290927,-88.44331349,"8,900",3.60,,
Madison County,32.63471032,-90.03371431,"11,290",3.75,,
Marion County,31.23081713,-89.82244299,"4,450",3.40,,
Marshall County,34.76226551,-89.50305644,"5,210",3.38,,
Monroe County,33.8922415,-88.48046691,"4,910",3.32,,
Montgomery County,33.49410242,-89.6163957,"1,750",3.39,,
Neshoba County,32.75349657,-89.11757283,"5,530",3.19,,
Newton County,32.40025807,-89.11878484,"3,800",3.29,,
Noxubee County,33.11011278,-88.56981619,"1,880",3.65,,
Oktibbeha County,33.42495314,-88.87930516,"8,020",3.65,,
Panola County,34.36393509,-89.95056728,"5,500",3.50,,
Pearl River County,30.76871049,-89.58975063,"8,960",3.46,,
Perry County,31.17202427,-88.99232828,"2,340",3.43,,
Pike County,31.17490784,-90.40416054,"8,000",3.33,,
Pontotoc County,34.22544215,-89.03740967,"4,520",3.30,,
Prentiss County,34.61828747,-88.52009532,"4,000",3.17,,
Quitman County,34.25140961,-90.28912447,"1,290",3.45,,
Rankin County,32.26412436,-89.94579807,"17,680",3.64,,
Scott County,32.40637987,-89.53763796,"4,690",3.16,,
Sharkey County,32.87972307,-90.81321492,760,3.43,,
Simpson County,31.91317196,-89.9194881,"4,050",3.31,,
Smith County,32.01769293,-89.50667752,"2,090",3.31,,
Stone County,30.78995165,-89.1177102,"3,260",3.62,,
Sunflower County,33.60231289,-90.58861863,"5,080",3.52,,
Tallahatchie County,33.95047481,-90.17326424,"2,170",3.39,,
Tate County,34.65032526,-89.94477952,"3,990",3.28,,
Tippah County,34.76840023,-88.90889802,"4,020",3.24,,
Tishomingo County,34.74043376,-88.23932314,"3,710",3.17,,
Tunica County,34.65067526,-90.37501084,"1,830",3.28,,
Union County,34.49047423,-89.00385691,"3,970",3.28,,
Walthall County,31.14842224,-90.10613675,"2,560",3.40,,
Warren County,32.35722961,-90.85201121,"6,830",3.61,,
Washington County,33.28382477,-90.94732022,"9,380",3.52,,
Wayne County,31.6407805,-88.69579769,"3,040",3.38,,
Webster County,33.61306811,-89.28482558,"1,680",3.65,,
Wilkinson County,31.16106746,-91.31091792,"1,490",3.35,,
Winston County,33.088491,-89.03442917,"3,180",3.19,,
Yalobusha County,34.02821156,-89.70763184,"2,070",3.39,,
Yazoo County,32.78031421,-90.39644797,"5,320",3.43,,